Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Autumn Herried,competitions-view?id=1318,Autumn Herried,1995,08/20/2016,Wolf Open,1.,R-O,-63,62.50,131.5,-140.6,-140.6,81.7,86.2,-88.5,129.3,136.1,-142.9,353.8,382.28
Autumn Herried,competitions-view?id=1067,Autumn Herried,1995,01/16/2016,USA Powerlifting Wisconsin State Open,1.,R-O,-63,61.70,127.5,135,-137.5,67.5,70,72.5,127.5,140,142.5,350,381.89
Autumn Herried,competitions-view?id=992,Autumn Herried,1995,10/15/2015,2015 Raw Nationals,8.,R-JR,-63,61.70,122.5,127.5,-132.5,65,70,-75,122.5,132.5,142.5,340,370.97
Autumn Herried,competitions-view?id=762,Autumn Herried,1995,01/17/2015,WI State Open '15,1.,R-O,-63,61.50,124.7,,,68,,,142.9,,,335.6,367.11
Autumn Herried,competitions-view?id=638,Autumn Herried,1995,01/01/2012,WHSPA,-,R-T2,-60,58.96,136.1,,,47.6,,,122.5,,,306.2,346.01
Ashley Bogan,competitions-view?id=1354,Ashley Bogan,1995,10/13/2016,Raw Nationals 2016,2.,R-JR,-63,59.85,125,132.5,-137.5,65,70,-72.5,147.5,160,165,367.5,410.53
Ashley Bogan,competitions-view?id=1292,Ashley Bogan,1995,07/30/2016,Ohio State Championship,1.,R-JR,-63,62.70,117.5,127.5,132.5,62.5,67.5,-72.5,142.5,152.5,157.5,357.5,385.35
Ashley Bogan,competitions-view?id=1184,Ashley Bogan,1995,04/16/2016,ABBRx Natural and Fit USA Powerlifting Meet,2.,R-O,-63,61.90,122.5,130,132.5,60,65,70,137.5,147.5,155,357.5,389.10
Ashley Bogan,competitions-view?id=992,Ashley Bogan,1995,10/15/2015,2015 Raw Nationals,36.,R-O,-72,66.20,102.5,112.5,120,55,60,-65,127.5,137.5,145,325,336.41
Ashley Bogan,competitions-view?id=1055,Ashley Bogan,1995,07/12/2015,2015 USAPL Ohio State Championships,5.,R-O,-72,64.40,92.5,102.5,107.5,52.5,57.5,-62.5,125,132.5,140,305,322.20
Ashley Bogan,competitions-view?id=905,Ashley Bogan,1995,05/16/2015,015 USAPL Pennsylvania State Bench Press and Deadlift,3.,R-O,-72,66.50,92.5,97.5,102.5,50,52.5,57.5,117.5,122.5,132.5,292.5,301.77
Giovanna Ortega,competitions-view?id=1354,Giovanna Ortega,1994,10/13/2016,Raw Nationals 2016,3.,R-JR,-63,61.38,122.5,127.5,132.5,62.5,67.5,72.5,142.5,150,155,360,394.38
Giovanna Ortega,competitions-view?id=1223,Giovanna Ortega,1994,12/19/2015,Texas Regional Championships,1.,R-JR,-63,60.50,120,-127.5,-127.5,60,65,-70,145,152.5,-157.5,337.5,373.88
Giovanna Ortega,competitions-view?id=784,Giovanna Ortega,1994,03/08/2015,2015 Texas Strength Classic,1.,R-JR,-63,60.80,122.5,,,67.5,,,155,,,345,380.71
